scenario,substrate_config,region,year_260_share_mean,year_260_share_sd,year_260_pop_mean
slavic1,none,Carpatho-Balkan Interior,0.028111,0.022871,2399.10
slavic1,none,Pannonian Plain,0.192764,0.233359,327.70
slavic1,none,Aegean Littoral,0.001399,0.002720,787.90
slavic1,none,Peloponnese,0.004950,0.011019,120.30
slavic1,none,Albanian Highlands,0.000000,0.000000,233.60
slavic1,none,Adriatic Coastal,0.000893,0.002824,135.20
slavic1,none,Lower Danubian Frontier,0.835260,0.076256,602.40
slavic1,none,unassigned,0.000000,0.000000,0.00
slavic1,uniform,Carpatho-Balkan Interior,0.149002,0.104289,2455.20
slavic1,uniform,Pannonian Plain,0.198421,0.189927,422.60
slavic1,uniform,Aegean Littoral,0.002037,0.002613,845.40
slavic1,uniform,Peloponnese,0.001439,0.004550,119.40
slavic1,uniform,Albanian Highlands,0.000000,0.000000,242.70
slavic1,uniform,Adriatic Coastal,0.001471,0.004650,190.40
slavic1,uniform,Lower Danubian Frontier,0.829089,0.083604,702.00
slavic1,uniform,unassigned,0.000000,0.000000,0.00
slavic1,cbi_only,Carpatho-Balkan Interior,0.150775,0.068689,2387.30
slavic1,cbi_only,Pannonian Plain,0.217813,0.237781,431.10
slavic1,cbi_only,Aegean Littoral,0.000751,0.001633,849.50
slavic1,cbi_only,Peloponnese,0.000000,0.000000,71.70
slavic1,cbi_only,Albanian Highlands,0.002527,0.005331,248.70
slavic1,cbi_only,Adriatic Coastal,0.000000,0.000000,201.90
slavic1,cbi_only,Lower Danubian Frontier,0.813218,0.111132,594.70
slavic1,cbi_only,unassigned,0.000000,0.000000,0.00
slavic2,none,Carpatho-Balkan Interior,0.197316,0.091514,3940.10
slavic2,none,Pannonian Plain,0.576267,0.270905,701.00
slavic2,none,Aegean Littoral,0.003439,0.003523,1560.40
slavic2,none,Peloponnese,0.000909,0.002875,154.20
slavic2,none,Albanian Highlands,0.001865,0.003473,550.20
slavic2,none,Adriatic Coastal,0.040140,0.125511,342.80
slavic2,none,Lower Danubian Frontier,0.939440,0.043850,1492.50
slavic2,none,unassigned,0.000000,0.000000,0.00
